Time,CoPx,CoPy
0.000000,0.091365,0.013426
0.001000,0.091652,0.013252
0.002000,0.091776,0.013058
0.003000,0.091614,0.013403
0.004000,0.091738,0.013209
0.005000,0.091614,0.013403
0.006000,0.091614,0.013038
0.007000,0.091862,0.013016
0.008000,0.091986,0.013187
0.009000,0.091700,0.013359
0.010000,0.091824,0.013529
0.011000,0.091543,0.013336
0.012000,0.091543,0.013336
0.013000,0.091666,0.013143
0.014000,0.091666,0.013143
0.015000,0.091382,0.013315
0.016000,0.091505,0.013485
0.017000,0.091629,0.013292
0.018000,0.091505,0.013485
0.019000,0.091629,0.013292
0.020000,0.091752,0.013462
0.021000,0.091632,0.013289
0.022000,0.091752,0.013462
0.023000,0.092159,0.013460
0.024000,0.091752,0.013462
0.025000,0.091714,0.013610
0.026000,0.091837,0.013778
0.027000,0.091837,0.013778
0.028000,0.092120,0.013608
0.029000,0.091840,0.013416
0.030000,0.091558,0.013586
0.031000,0.091803,0.013563
0.032000,0.091803,0.013563
0.033000,0.091680,0.013395
0.034000,0.091806,0.013201
0.035000,0.091925,0.013372
0.036000,0.091646,0.013181
0.037000,0.091768,0.013349
0.038000,0.091890,0.013159
0.039000,0.091768,0.013349
0.040000,0.091768,0.013349
0.041000,0.091609,0.013329
0.042000,0.091731,0.013496
0.043000,0.091731,0.013496
0.044000,0.091731,0.013496
0.045000,0.091576,0.013473
0.046000,0.091974,0.013474
0.047000,0.091974,0.013474
0.048000,0.092095,0.013284
0.049000,0.091694,0.013643
0.050000,0.091697,0.013283
0.051000,0.091418,0.013452
0.052000,0.091418,0.013452
0.053000,0.091539,0.013263
0.054000,0.091263,0.013073
0.055000,0.091660,0.013430
0.056000,0.091660,0.013430
0.057000,0.091385,0.013240
0.058000,0.091503,0.013764
0.059000,0.091228,0.013575
0.060000,0.091349,0.013386
0.061000,0.091627,0.013218
0.062000,0.091747,0.013030
0.063000,0.091868,0.013196
0.064000,0.091316,0.013175
0.065000,0.091195,0.013009
0.066000,0.091748,0.013384
0.067000,0.091437,0.013341
0.068000,0.091831,0.013342
0.069000,0.091834,0.012986
0.070000,0.091558,0.013506
0.071000,0.091558,0.013506
0.072000,0.091834,0.012986
0.073000,0.091678,0.013319
0.074000,0.092071,0.013320
0.075000,0.091798,0.013484
0.076000,0.091917,0.013297
0.077000,0.091641,0.013464
0.078000,0.091641,0.013464
0.079000,0.091644,0.013109
0.080000,0.091644,0.013109
0.081000,0.091489,0.013441
0.082000,0.091761,0.013277
0.083000,0.091369,0.013276
0.084000,0.091608,0.013254
0.085000,0.091883,0.013088
0.086000,0.091728,0.013419
0.087000,0.092119,0.013420
0.088000,0.091847,0.013233
0.089000,0.091847,0.013233
0.090000,0.091724,0.013772
0.091000,0.091688,0.013915
0.092000,0.091843,0.013586
0.093000,0.091847,0.013233
0.094000,0.091966,0.013397
0.095000,0.091658,0.013354
0.096000,0.091810,0.013377
0.097000,0.091810,0.013377
0.098000,0.092084,0.013211
0.099000,0.091539,0.013191
0.100000,0.091929,0.013540
0.101000,0.091777,0.013169
0.102000,0.092050,0.013004
0.103000,0.091777,0.013169
0.104000,0.091777,0.013169
0.105000,0.091622,0.013497
0.106000,0.091625,0.013147
0.107000,0.091740,0.013313
0.108000,0.091740,0.013313
0.109000,0.091589,0.013290
0.110000,0.091167,0.013086
0.111000,0.091826,0.013269
0.112000,0.091826,0.013269
0.113000,0.091521,0.013227
0.114000,0.091672,0.013595
0.115000,0.091404,0.013410
0.116000,0.091521,0.013227
0.117000,0.091639,0.013388
0.118000,0.091757,0.013205
0.119000,0.091639,0.013388
0.120000,0.091337,0.013346
0.121000,0.091604,0.013530
0.122000,0.091571,0.012982
