Time,CoPx,CoPy
0,-0.006381,0.096961
0.001,-0.006405,0.096992
0.002,-0.006405,0.096992
0.003,-0.00643,0.097023
0.004,-0.00643,0.097066
0.005,-0.006431,0.097086
0.006,-0.006456,0.097117
0.007,-0.00648,0.097148
0.008,-0.006457,0.097179
0.009,-0.006506,0.097199
0.01,-0.006483,0.09723
0.011,-0.006484,0.09725
0.012,-0.006484,0.09725
0.013,-0.00651,0.097301
0.014,-0.006509,0.097282
0.015,-0.006533,0.097313
0.016,-0.00651,0.097344
0.017,-0.006535,0.097376
0.018,-0.006584,0.097395
0.019,-0.006584,0.097395
0.02,-0.006562,0.097447
0.021,-0.006562,0.097447
0.022,-0.006588,0.097455
0.023,-0.006588,0.097455
0.024,-0.006612,0.097486
0.025,-0.006564,0.097486
0.026,-0.006613,0.097506
0.027,-0.006615,0.097569
0.028,-0.006663,0.097526
0.029,-0.006664,0.097589
0.03,-0.006665,0.097608
0.031,-0.006642,0.097597
0.032,-0.00657,0.097628
0.033,-0.006595,0.097659
0.034,-0.00662,0.097648
0.035,-0.006621,0.097668
0.036,-0.006622,0.097731
0.037,-0.006599,0.097719
0.038,-0.006551,0.097719
0.039,-0.006575,0.097751
0.04,-0.006601,0.097759
0.041,-0.006578,0.097833
0.042,-0.006578,0.097833
0.043,-0.006579,0.097854
0.044,-0.006579,0.097896
0.045,-0.006532,0.097959
0.046,-0.006582,0.097979
0.047,-0.006535,0.097999
0.048,-0.006536,0.098019
0.049,-0.006536,0.098062
0.05,-0.006536,0.098062
0.051,-0.006513,0.098137
0.052,-0.006513,0.098137
0.053,-0.006513,0.098137
0.054,-0.006537,0.098168
0.055,-0.006515,0.09822
0.056,-0.006514,0.0982
0.057,-0.006491,0.098275
0.058,-0.006515,0.098306
0.059,-0.006516,0.098326
0.06,-0.006541,0.098358
0.061,-0.006541,0.098358
0.062,-0.006541,0.098401
0.063,-0.006518,0.098432
0.064,-0.006565,0.098412
0.065,-0.006541,0.098444
0.066,-0.006541,0.098444
0.067,-0.006565,0.098498
0.068,-0.00659,0.098487
0.069,-0.006589,0.09853
0.07,-0.006565,0.098541
0.071,-0.006588,0.09851
0.072,-0.006612,0.098521
0.073,-0.006588,0.098553
0.074,-0.006611,0.098564
0.075,-0.006587,0.098576
0.076,-0.00661,0.098587
0.077,-0.006586,0.098556
0.078,-0.006634,0.098599
0.079,-0.00661,0.098673
0.08,-0.006657,0.098653
0.081,-0.006634,0.098642
0.082,-0.00668,0.098664
0.083,-0.006633,0.098665
0.084,-0.006679,0.098644
0.085,-0.006631,0.098688
0.086,-0.006655,0.098699
0.087,-0.006703,0.098699
0.088,-0.006677,0.09869
0.089,-0.006652,0.098659
0.09,-0.006627,0.09867
0.091,-0.006699,0.098681
0.092,-0.00665,0.098661
0.093,-0.006696,0.098641
0.094,-0.006698,0.098704
0.095,-0.006721,0.098716
0.096,-0.006673,0.098716
0.097,-0.006695,0.098707
0.098,-0.006695,0.098707
0.099,-0.00667,0.098675
0.1,-0.006694,0.098687
0.101,-0.006622,0.098675
0.102,-0.006669,0.098655
0.103,-0.006669,0.098698
0.104,-0.00662,0.098678
0.105,-0.006668,0.098635
0.106,-0.00662,0.098635
0.107,-0.006643,0.098647
0.108,-0.006595,0.098646
0.109,-0.006594,0.098626
0.11,-0.006592,0.098606
0.111,-0.006592,0.098606
0.112,-0.006544,0.098649
0.113,-0.006518,0.098597
0.114,-0.006566,0.098555
0.115,-0.006543,0.098586
0.116,-0.006494,0.098566
0.117,-0.00647,0.098555
0.118,-0.006444,0.098546
0.119,-0.006444,0.098546
0.12,-0.006444,0.098546
0.121,-0.006419,0.098514
0.122,-0.006372,0.098514
0.123,-0.006372,0.098514
0.124,-0.006395,0.098483
0.125,-0.00637,0.098494
0.126,-0.006347,0.098483
0.127,-0.006273,0.098431
0.128,-0.006321,0.098431
0.129,-0.006272,0.098411
0.13,-0.006225,0.098431
0.131,-0.006272,0.098411
0.132,-0.006295,0.09838
0.133,-0.006247,0.098423
0.134,-0.006247,0.098423
0.135,-0.006223,0.098434
0.136,-0.006246,0.098402
0.137,-0.006246,0.098402
0.138,-0.006197,0.098382
0.139,-0.006197,0.098382
0.14,-0.006174,0.098457
0.141,-0.006197,0.098425
0.142,-0.006148,0.098405
0.143,-0.006148,0.098448
0.144,-0.006171,0.098417
0.145,-0.006171,0.098417
0.146,-0.006171,0.098417
0.147,-0.006147,0.098428
0.148,-0.00617,0.098439
0.149,-0.006122,0.098439
