Time,CoPx,CoPy
0,0.002584,0.091165
0.001,0.002584,0.091165
0.002,0.00256,0.091134
0.003,0.002631,0.091146
0.004,0.002607,0.091177
0.005,0.002608,0.091196
0.006,0.002608,0.091196
0.007,0.002607,0.09122
0.008,0.002631,0.091189
0.009,0.002607,0.09122
0.01,0.002607,0.09122
0.011,0.002607,0.09122
0.012,0.002607,0.09122
0.013,0.002632,0.091208
0.014,0.002632,0.09125
0.015,0.002559,0.091263
0.016,0.002607,0.091263
0.017,0.002607,0.091263
0.018,0.002607,0.091306
0.019,0.002607,0.091287
0.02,0.002606,0.09133
0.021,0.002583,0.091318
0.022,0.002607,0.091348
0.023,0.002582,0.091342
0.024,0.002582,0.091342
0.025,0.002606,0.091373
0.026,0.002606,0.091373
0.027,0.002606,0.091373
0.028,0.002582,0.091385
0.029,0.002558,0.091354
0.03,0.002582,0.091385
0.031,0.002558,0.091397
0.032,0.002582,0.091366
0.033,0.002581,0.091409
0.034,0.002534,0.091409
0.035,0.002558,0.09144
0.036,0.002581,0.091452
0.037,0.002581,0.091452
0.038,0.002557,0.091464
0.039,0.002581,0.091452
0.04,0.002605,0.091464
0.041,0.002581,0.091476
0.042,0.002581,0.091476
0.043,0.002604,0.091488
0.044,0.002532,0.0915
0.045,0.002581,0.091519
0.046,0.00258,0.091519
0.047,0.002604,0.091488
0.048,0.00258,0.091543
0.049,0.00258,0.091543
0.05,0.00258,0.091543
0.051,0.00258,0.091543
0.052,0.002579,0.091525
0.053,0.002604,0.091512
0.054,0.00258,0.091543
0.055,0.002556,0.091555
0.056,0.00258,0.091543
0.057,0.002604,0.091512
0.058,0.002556,0.091512
0.059,0.002532,0.091525
0.06,0.002532,0.091586
0.061,0.002556,0.091555
0.062,0.002556,0.091555
0.063,0.00258,0.091586
0.064,0.002581,0.091605
0.065,0.002581,0.091605
0.066,0.00258,0.091543
0.067,0.002557,0.091593
0.068,0.002581,0.091605
0.069,0.002605,0.091635
0.07,0.002629,0.091623
0.071,0.002605,0.091635
0.072,0.002557,0.091654
0.073,0.002582,0.091642
0.074,0.002629,0.091642
0.075,0.002605,0.091654
0.076,0.002605,0.091654
0.077,0.002582,0.091642
0.078,0.002606,0.091673
0.079,0.00263,0.09166
0.08,0.00263,0.09166
0.081,0.002607,0.091648
0.082,0.002607,0.091691
0.083,0.002631,0.091679
0.084,0.002655,0.091667
0.085,0.002607,0.091667
0.086,0.002607,0.09171
0.087,0.002631,0.091698
0.088,0.002607,0.09171
0.089,0.002559,0.091667
0.09,0.00256,0.091686
0.091,0.002631,0.091698
0.092,0.002608,0.091704
0.093,0.002608,0.091704
0.094,0.002608,0.091704
0.095,0.002633,0.091735
0.096,0.002656,0.091704
0.097,0.00256,0.091704
0.098,0.002585,0.091692
0.099,0.002585,0.091692
0.1,0.002633,0.091735
0.101,0.002656,0.091704
0.102,0.002633,0.091692
0.103,0.002656,0.091704
0.104,0.002633,0.091649
0.105,0.002609,0.09168
0.106,0.002609,0.09168
0.107,0.002609,0.09168
0.108,0.002633,0.091649
0.109,0.002633,0.091649
0.11,0.002657,0.09168
0.111,0.002657,0.09168
0.112,0.002633,0.091649
0.113,0.002633,0.091649
0.114,0.002634,0.091625
0.115,0.002634,0.091625
0.116,0.002633,0.091649
0.117,0.002633,0.091649
0.118,0.002609,0.091637
0.119,0.002634,0.091625
0.12,0.002634,0.091625
0.121,0.002609,0.091594
0.122,0.002657,0.091637
0.123,0.002658,0.091613
0.124,0.002609,0.091594
0.125,0.002609,0.091594
0.126,0.002634,0.091582
0.127,0.002634,0.091582
0.128,0.002657,0.091594
0.129,0.002682,0.091582
0.13,0.002658,0.091613
0.131,0.00261,0.09157
0.132,0.00261,0.09157
0.133,0.00261,0.09157
0.134,0.002634,0.091539
0.135,0.002634,0.091539
0.136,0.002634,0.091539
0.137,0.002659,0.091503
0.138,0.002683,0.091515
0.139,0.002659,0.091503
0.14,0.002659,0.091503
0.141,0.002659,0.091503
0.142,0.002659,0.091503
0.143,0.002634,0.091515
0.144,0.002659,0.091503
0.145,0.002635,0.091447
0.146,0.002659,0.09146
0.147,0.002707,0.09146
0.148,0.002635,0.091491
0.149,0.002683,0.091448
0.15,0.002708,0.091435
0.151,0.00266,0.091392
0.152,0.002684,0.091423
0.153,0.002684,0.091423
0.154,0.00266,0.091392
0.155,0.002708,0.091393
0.156,0.002708,0.091393
0.157,0.002683,0.091362
0.158,0.002708,0.091393
0.159,0.002731,0.091362
0.16,0.002683,0.091362
0.161,0.002708,0.091368
0.162,0.002732,0.091337
0.163,0.00266,0.091307
0.164,0.002708,0.091307
0.165,0.002683,0.091319
0.166,0.002708,0.091307
0.167,0.002707,0.091331
0.168,0.002708,0.091307
0.169,0.002755,0.091288
0.17,0.002755,0.091288
0.171,0.002755,0.091288
0.172,0.002731,0.091276
0.173,0.002755,0.091245
0.174,0.002707,0.091245
0.175,0.002755,0.091202
0.176,0.002731,0.091214
0.177,0.002731,0.091214
0.178,0.002731,0.091171
0.179,0.002779,0.091214
0.18,0.002755,0.091184
0.181,0.002755,0.091227
0.182,0.002779,0.091214
0.183,0.002779,0.091214
0.184,0.002755,0.091202
0.185,0.002803,0.091245
0.186,0.002778,0.091196
0.187,0.002755,0.091141
0.188,0.002778,0.091153
0.189,0.002778,0.091196
0.19,0.002778,0.091134
0.191,0.00285,0.091122
0.192,0.002802,0.091122
0.193,0.002802,0.091122
0.194,0.002778,0.09111
0.195,0.002778,0.091049
0.196,0.002778,0.091049
0.197,0.002802,0.091079
0.198,0.002826,0.091006
0.199,0.002777,0.09103
0.2,0.002825,0.09103
0.201,0.002825,0.09103
0.202,0.002825,0.09103
0.203,0.002825,0.09103
0.204,0.002801,0.090957
0.205,0.002849,0.090956
0.206,0.002825,0.090969
0.207,0.002873,0.090926
0.208,0.002825,0.090883
0.209,0.002849,0.090871
0.21,0.002825,0.09084
0.211,0.002848,0.09081
0.212,0.002896,0.090809
0.213,0.002873,0.090797
0.214,0.002849,0.090767
0.215,0.00292,0.090693
0.216,0.002897,0.090724
0.217,0.002896,0.090662
0.218,0.00292,0.09065
0.219,0.00292,0.090607
0.22,0.00292,0.090607
0.221,0.00292,0.090607
0.222,0.002944,0.090577
0.223,0.00292,0.090565
0.224,0.002944,0.090534
0.225,0.002968,0.090522
0.226,0.002968,0.09046
0.227,0.002968,0.090503
0.228,0.002991,0.090473
0.229,0.002991,0.09043
0.23,0.002991,0.09043
0.231,0.003016,0.090417
0.232,0.002992,0.090405
0.233,0.003016,0.090375
0.234,0.003016,0.090375
0.235,0.003039,0.090387
0.236,0.003039,0.090344
0.237,0.003016,0.09035
0.238,0.002992,0.090363
0.239,0.00304,0.090362
0.24,0.003064,0.090332
0.241,0.00304,0.09032
0.242,0.003087,0.090301
0.243,0.003087,0.09024
0.244,0.003064,0.090246
0.245,0.003088,0.090277
0.246,0.003064,0.090265
0.247,0.003064,0.090203
0.248,0.003088,0.090191
0.249,0.003064,0.09016
0.25,0.003088,0.090191
0.251,0.003088,0.090191
0.252,0.003112,0.09016
0.253,0.003113,0.090136
0.254,0.003136,0.090148
0.255,0.003112,0.090075
0.256,0.003064,0.090118
0.257,0.003088,0.090087
0.258,0.003112,0.090075
0.259,0.003112,0.090075
0.26,0.003136,0.090044
0.261,0.003088,0.090063
0.262,0.003111,0.090057
0.263,0.003112,0.090032
0.264,0.003088,0.090001
0.265,0.003136,0.090044
0.266,0.003112,0.090032
0.267,0.003088,0.090001
0.268,0.003136,0.089958
0.269,0.003136,0.090001
0.27,0.003136,0.089958
0.271,0.003136,0.089958
0.272,0.003183,0.089959
0.273,0.00316,0.089989
0.274,0.00316,0.089989
0.275,0.003136,0.089958
0.276,0.00316,0.089903
0.277,0.003209,0.089922
0.278,0.003185,0.089952
0.279,0.003137,0.089934
0.28,0.003185,0.089934
0.281,0.003161,0.089921
0.282,0.003209,0.089922
0.283,0.003161,0.089921
0.284,0.003185,0.089891
0.285,0.003161,0.089879
0.286,0.003162,0.089854
0.287,0.003161,0.089879
0.288,0.003162,0.089897
0.289,0.003185,0.089866
0.29,0.003185,0.089866
0.291,0.003186,0.089885
0.292,0.00321,0.089872
0.293,0.003162,0.089854
0.294,0.00321,0.089811
0.295,0.00321,0.089854
0.296,0.003258,0.089854
0.297,0.00321,0.089854
0.298,0.00321,0.089854
0.299,0.003186,0.089842
0.3,0.003186,0.089842
0.301,0.003186,0.089842
0.302,0.003234,0.089885
0.303,0.003186,0.089842
0.304,0.003235,0.08986
0.305,0.003211,0.089829
0.306,0.003186,0.089799
0.307,0.003211,0.089829
0.308,0.003234,0.089842
0.309,0.003258,0.089811
0.31,0.003211,0.089829
0.311,0.003186,0.089842
0.312,0.003211,0.089829
0.313,0.003211,0.089829
0.314,0.003211,0.089829
0.315,0.003186,0.089842
0.316,0.00321,0.089811
0.317,0.003211,0.089829
0.318,0.003234,0.089799
0.319,0.003233,0.089823
0.32,0.003233,0.089823
0.321,0.00321,0.089854
0.322,0.00321,0.089854
0.323,0.00321,0.089854
0.324,0.003186,0.089842
0.325,0.003186,0.089823
0.326,0.00321,0.089854
0.327,0.003185,0.089866
0.328,0.00321,0.089854
0.329,0.003185,0.089848
0.33,0.003185,0.089848
0.331,0.003209,0.089879
0.332,0.003185,0.089866
0.333,0.003186,0.089823
0.334,0.003186,0.089823
0.335,0.003185,0.089848
0.336,0.003185,0.089848
0.337,0.003209,0.089879
0.338,0.003185,0.089848
0.339,0.003185,0.089848
0.34,0.003185,0.089891
0.341,0.003161,0.089836
0.342,0.00316,0.089818
0.343,0.003185,0.089891
0.344,0.003185,0.089891
0.345,0.00316,0.08986
0.346,0.003113,0.089817
0.347,0.00316,0.08986
0.348,0.003184,0.089873
0.349,0.003184,0.089873
0.35,0.003137,0.089891
0.351,0.003137,0.089891
0.352,0.003136,0.089915
0.353,0.00316,0.089885
0.354,0.003112,0.089903
0.355,0.00316,0.08986
0.356,0.00316,0.08986
0.357,0.003112,0.089903
0.358,0.003136,0.089915
0.359,0.003161,0.089921
0.36,0.003137,0.089934
0.361,0.003112,0.089903
0.362,0.003089,0.089934
0.363,0.003137,0.089934
0.364,0.003113,0.089922
0.365,0.003137,0.089934
0.366,0.003089,0.089934
0.367,0.003112,0.089903
0.368,0.003113,0.089946
0.369,0.003113,0.089964
0.37,0.003112,0.089903
0.371,0.003089,0.089934
0.372,0.003089,0.089934
0.373,0.003041,0.089977
0.374,0.003089,0.089934
0.375,0.003089,0.089891
0.376,0.003065,0.089921
0.377,0.003089,0.089995
0.378,0.003065,0.090007
0.379,0.003089,0.089977
0.38,0.003089,0.090038
0.381,0.003041,0.089995
0.382,0.003089,0.089995
0.383,0.003065,0.090007
0.384,0.003041,0.089977
0.385,0.003017,0.090007
0.386,0.003065,0.090007
0.387,0.003041,0.089977
0.388,0.003065,0.090007
0.389,0.003017,0.09005
0.39,0.003017,0.09005
0.391,0.003065,0.09005
0.392,0.002993,0.090019
0.393,0.003017,0.09005
0.394,0.002993,0.090081
0.395,0.002993,0.090081
0.396,0.00297,0.090068
0.397,0.002993,0.090081
0.398,0.003041,0.090062
0.399,0.002993,0.090081
0.4,0.00297,0.090068
0.401,0.00297,0.090068
0.402,0.002969,0.090093
0.403,0.002969,0.090093
0.404,0.003018,0.090111
0.405,0.00297,0.09013
0.406,0.00297,0.090154
0.407,0.00297,0.090154
0.408,0.002994,0.090142
0.409,0.002993,0.090166
0.41,0.002993,0.090166
0.411,0.00297,0.090172
0.412,0.002994,0.090185
0.413,0.002945,0.090167
0.414,0.00297,0.090215
0.415,0.00297,0.090154
0.416,0.00297,0.090172
0.417,0.002995,0.090203
0.418,0.002946,0.090203
0.419,0.002947,0.090246
0.42,0.00297,0.090215
0.421,0.00297,0.090215
0.422,0.00297,0.090215
0.423,0.002947,0.090246
