Time,CoPx,CoPy
0,0.037581,0.001281
0.001,0.038293,0.001411
0.002,0.039299,0.001804
0.003,0.039958,0.002195
0.004,0.04096,0.002587
0.005,0.04196,0.00324
0.006,0.042906,0.003103
0.007,0.043965,0.003619
0.008,0.044611,0.004004
0.009,0.045371,0.004255
0.01,0.046187,0.004509
0.011,0.047113,0.004891
0.012,0.048154,0.005137
0.013,0.049189,0.005382
0.014,0.049931,0.005884
0.015,0.050668,0.006127
0.016,0.051514,0.006493
0.017,0.05242,0.006609
0.018,0.05332,0.00698
0.019,0.054152,0.007341
0.02,0.055155,0.007577
0.021,0.055762,0.007943
0.022,0.056581,0.008299
0.023,0.057288,0.008532
0.024,0.058169,0.008642
0.025,0.058695,0.008742
0.026,0.059497,0.009091
0.027,0.060262,0.009581
0.028,0.06085,0.009938
0.029,0.061715,0.010044
0.03,0.062298,0.010151
0.031,0.062704,0.010375
0.032,0.063384,0.010845
0.033,0.063786,0.010821
0.034,0.064361,0.011171
0.035,0.064834,0.011404
0.036,0.065503,0.011624
0.037,0.06615,0.011739
0.038,0.066522,0.0121
0.039,0.06699,0.012331
0.04,0.067363,0.012444
0.041,0.068007,0.012315
0.042,0.068552,0.012804
0.043,0.068824,0.013048
0.044,0.069275,0.013177
0.045,0.069275,0.013177
0.046,0.06982,0.013423
0.047,0.070367,0.013666
0.048,0.070642,0.013665
0.049,0.070915,0.01391
0.05,0.070997,0.01417
0.051,0.071628,0.014431
0.052,0.071998,0.0143
0.053,0.072546,0.014543
0.054,0.072904,0.014806
0.055,0.073265,0.015068
0.056,0.073446,0.014952
0.057,0.07372,0.015198
0.058,0.0739,0.01533
0.059,0.074443,0.01548
0.06,0.074813,0.015592
0.061,0.074807,0.015743
0.062,0.075078,0.015893
0.063,0.075447,0.016008
0.064,0.07554,0.016122
0.065,0.075813,0.016272
0.066,0.076273,0.016405
0.067,0.076363,0.016671
0.068,0.076638,0.016672
0.069,0.076822,0.017053
0.07,0.076914,0.01692
0.071,0.077376,0.017053
0.072,0.077559,0.017187
0.073,0.077743,0.017321
0.074,0.077931,0.016957
0.075,0.078392,0.01734
0.076,0.078579,0.017224
0.077,0.078856,0.017473
0.078,0.078948,0.017587
0.079,0.078948,0.017587
0.08,0.079133,0.017722
0.081,0.079317,0.017701
0.082,0.079408,0.017815
0.083,0.079685,0.018063
0.084,0.079685,0.018063
0.085,0.079964,0.018062
0.086,0.080146,0.018041
0.087,0.080146,0.018041
0.088,0.080331,0.018175
0.089,0.0807,0.01804
0.09,0.080888,0.017925
0.091,0.080791,0.018153
0.092,0.080785,0.018246
0.093,0.080875,0.018112
0.094,0.081243,0.018224
0.095,0.081428,0.018358
0.096,0.081428,0.018358
0.097,0.081518,0.018471
0.098,0.081883,0.018584
0.099,0.081972,0.01845
0.1,0.081785,0.018564
0.101,0.082062,0.018316
0.102,0.082056,0.018407
0.103,0.082241,0.018541
0.104,0.08233,0.018653
0.105,0.082145,0.018519
0.106,0.082508,0.018632
0.107,0.082508,0.018632
0.108,0.082597,0.018743
0.109,0.082685,0.01861
0.11,0.082685,0.01861
0.111,0.082774,0.018722
0.112,0.083235,0.018854
0.113,0.083136,0.018834
0.114,0.083038,0.019058
0.115,0.083136,0.019079
0.116,0.083224,0.018945
0.117,0.083498,0.019191
0.118,0.083585,0.019057
0.119,0.083585,0.019057
0.12,0.083399,0.019414
0.121,0.083761,0.01928
0.122,0.083761,0.01928
0.123,0.083761,0.01928
0.124,0.083849,0.01939
0.125,0.083849,0.01939
0.126,0.083937,0.019257
0.127,0.084024,0.019368
0.128,0.084024,0.019368
0.129,0.084112,0.019479
0.13,0.084199,0.019346
0.131,0.0841,0.019325
0.132,0.0841,0.019325
0.133,0.0841,0.019325
0.134,0.083915,0.019192
0.135,0.084286,0.019213
0.136,0.084286,0.019457
0.137,0.084286,0.019213
0.138,0.084187,0.019436
0.139,0.084187,0.019436
0.14,0.084187,0.019436
0.141,0.084187,0.019436
0.142,0.084003,0.019302
0.143,0.08409,0.019413
0.144,0.084177,0.01928
0.145,0.084177,0.01928
0.146,0.084177,0.01928
0.147,0.083622,0.01937
0.148,0.083979,0.019481
0.149,0.08397,0.019326
0.15,0.0837,0.019326
0.151,0.083602,0.019305
0.152,0.083235,0.019284
0.153,0.083322,0.019152
0.154,0.083409,0.019021
0.155,0.083409,0.019262
0.156,0.083217,0.019219
0.157,0.083217,0.019219
0.158,0.082852,0.019198
0.159,0.082939,0.019067
0.16,0.083112,0.019046
0.161,0.082662,0.019155
0.162,0.082662,0.019155
0.163,0.082394,0.018915
0.164,0.082394,0.018915
0.165,0.082212,0.019025
0.166,0.082032,0.018894
0.167,0.082212,0.019025
0.168,0.081763,0.019135
0.169,0.081763,0.018896
0.17,0.081588,0.018917
0.171,0.081406,0.019027
0.172,0.081045,0.019006
0.173,0.08087,0.019028
0.174,0.080784,0.018678
0.175,0.080605,0.018547
0.176,0.080336,0.018787
0.177,0.080067,0.018788
0.178,0.079888,0.018658
0.179,0.0798,0.018788
0.18,0.079799,0.018549
0.181,0.079442,0.01868
0.182,0.079442,0.01868
0.183,0.079086,0.01857
0.184,0.078818,0.01833
0.185,0.07864,0.018111
0.186,0.078281,0.018242
0.187,0.078192,0.018372
0.188,0.078013,0.018002
0.189,0.077475,0.018002
0.19,0.077295,0.018113
0.191,0.076937,0.018003
0.192,0.076757,0.018023
0.193,0.076309,0.017654
0.194,0.076307,0.017562
0.195,0.076039,0.017321
0.196,0.075591,0.017432
0.197,0.07532,0.017433
0.198,0.074965,0.017414
0.199,0.074782,0.017434
0.2,0.074421,0.017082
0.201,0.073974,0.016953
0.202,0.073974,0.016953
0.203,0.073528,0.016824
0.204,0.072982,0.016732
0.205,0.072889,0.016621
0.206,0.072445,0.016249
0.207,0.072174,0.01625
0.208,0.071812,0.016139
0.209,0.071634,0.016011
0.21,0.071366,0.015769
0.211,0.070828,0.015527
0.212,0.070207,0.015512
0.213,0.070033,0.015382
0.214,0.069589,0.015254
0.215,0.0694,0.015271
0.216,0.068861,0.015032
0.217,0.068498,0.014919
0.218,0.068054,0.014791
0.219,0.067515,0.014552
0.22,0.067326,0.014326
0.221,0.067055,0.014327
0.222,0.066515,0.014087
0.223,0.06615,0.013974
0.224,0.065688,0.013748
0.225,0.06559,0.013635
0.226,0.064878,0.013507
0.227,0.064436,0.01338
0.228,0.06424,0.013395
0.229,0.063971,0.013153
0.23,0.06343,0.012913
0.231,0.063159,0.012914
0.232,0.062547,0.012659
0.233,0.06208,0.012431
0.234,0.061569,0.01229
0.235,0.061129,0.012163
0.236,0.061029,0.01205
0.237,0.060389,0.011937
0.238,0.060391,0.011453
0.239,0.059851,0.011454
0.24,0.05958,0.011455
0.241,0.059311,0.011214
0.242,0.058503,0.011213
0.243,0.058234,0.010972
0.244,0.057965,0.010731
0.245,0.057258,0.010364
0.246,0.056987,0.010365
0.247,0.056922,0.010112
0.248,0.056449,0.009882
0.249,0.056012,0.009757
0.25,0.055743,0.009516
0.251,0.055242,0.009382
0.252,0.054768,0.009392
0.253,0.054667,0.009034
0.254,0.054499,0.00891
0.255,0.053961,0.008911
0.256,0.053796,0.008785
0.257,0.053467,0.008294
0.258,0.052867,0.008287
0.259,0.052435,0.007922
0.26,0.052003,0.007798
0.261,0.05157,0.007675
0.262,0.051468,0.007318
0.263,0.050871,0.007312
0.264,0.050488,0.007057
0.265,0.050058,0.006935
0.266,0.049792,0.006696
0.267,0.049364,0.006095
0.268,0.04883,0.006096
0.269,0.048402,0.005974
0.27,0.047814,0.00573
0.271,0.047388,0.005369
0.272,0.046856,0.005369
0.273,0.046536,0.005364
0.274,0.045898,0.004772
0.275,0.045473,0.004651
0.276,0.045258,0.004418
0.277,0.04446,0.004418
0.278,0.044035,0.004298
0.279,0.043553,0.004064
0.28,0.043179,0.003708
0.281,0.042804,0.003352
0.282,0.04227,0.003353
0.283,0.041687,0.003351
0.284,0.041312,0.002995
0.285,0.040936,0.002877
0.286,0.040402,0.00264
0.287,0.039915,0.002403
0.288,0.039693,0.002167
0.289,0.039315,0.002048
0.29,0.03867,0.001689
0.291,0.038404,0.001688
0.292,0.038135,0.00169
0.293,0.037601,0.001211
0.294,0.037332,0.001212
0.295,0.036953,0.001092
0.296,0.036304,0.000974
0.297,0.036034,0.000975
0.298,0.035807,0.000736
0.299,0.03554,0.000736
0.3,0.035273,0.000496
0.301,0.034891,0.000375
0.302,0.034468,0.000256
0.303,0.034239,0.000256
0.304,0.033972,0.000016
0.305,0.033549,-0.000103
0.306,0.033319,-0.000104
0.307,0.033319,-0.000104
0.308,0.033012,-0.000103
0.309,0.032475,-0.000102
0.31,0.032475,-0.000102
0.311,0.032207,-0.000342
0.312,0.031824,-0.000463
0.313,0.031635,-0.000581
0.314,0.031519,-0.000462
0.315,0.031366,-0.00034
0.316,0.031215,-0.00046
0.317,0.030945,-0.000459
0.318,0.030795,-0.000579
0.319,0.030795,-0.000579
0.32,0.030642,-0.000457
0.321,0.030492,-0.000577
0.322,0.030375,-0.000697
0.323,0.030375,-0.000697
0.324,0.030189,-0.000575
0.325,0.030073,-0.000457
0.326,0.030189,-0.000575
0.327,0.029771,-0.000693
0.328,0.029923,-0.000815
0.329,0.030073,-0.000695
0.33,0.029655,-0.000575
0.331,0.029771,-0.000693
0.332,0.029655,-0.000575
0.333,0.029655,-0.000575
0.334,0.029655,-0.000575
0.335,0.029771,-0.000455
0.336,0.029655,-0.000575
0.337,0.029503,-0.000454
0.338,0.029386,-0.000573
0.339,0.029354,-0.000573
0.34,0.029354,-0.000573
0.341,0.029503,-0.000454
0.342,0.029237,-0.000454
0.343,0.029389,-0.000575
0.344,0.029389,-0.000575
0.345,0.029388,-0.000814
0.346,0.029305,-0.000457
0.347,0.029421,-0.000576
0.348,0.029305,-0.000457
0.349,0.029305,-0.000457
0.35,0.029455,-0.000337
0.351,0.02927,-0.000216
0.352,0.029537,0.000024
0.353,0.02942,-0.000096
0.354,0.029653,-0.000096
0.355,0.029772,-0.000217
0.356,0.029469,0.000025
0.357,0.029585,-0.000094
0.358,0.029551,0.000145
0.359,0.029251,0.000146
0.36,0.029218,0.000146
0.361,0.029367,0.000028
0.362,0.029068,0.000029
0.363,0.029184,0.000147
0.364,0.029151,-0.00009
0.365,0.028853,-0.000089
0.366,0.028853,-0.000089
0.367,0.028556,-0.000088
0.368,0.028408,-0.000206
0.369,0.028143,-0.000205
0.37,0.027995,-0.000323
0.371,0.027995,-0.000323
0.372,0.027848,-0.000441
0.373,0.027584,-0.000204
0.374,0.027467,-0.000323
0.375,0.027467,-0.000323
0.376,0.027319,-0.000203
0.377,0.027202,-0.000321
0.378,0.027055,-0.000439
0.379,0.026939,-0.000322
0.38,0.026822,-0.00044
0.381,0.02641,-0.000557
0.382,0.026441,-0.000559
0.383,0.026147,-0.000558
0.384,0.025912,-0.000559
0.385,0.026029,-0.000676
0.386,0.025912,-0.000795
0.387,0.025912,-0.000795
0.388,0.025383,-0.000794
0.389,0.025237,-0.000912
0.39,0.02509,-0.000792
0.391,0.025062,-0.001027
