Seq,Time,Fz,Mx,My,CoPx,CoPy
0.000000,0.000000,899.243086,58.583625,2.827846,-0.003145,0.065148
1.000000,0.001000,899.059466,58.583685,2.827956,-0.003145,0.065161
2.000000,0.002000,898.967886,58.602895,2.849436,-0.003170,0.065189
3.000000,0.003000,899.059636,58.583575,2.870876,-0.003193,0.065161
4.000000,0.004000,899.059346,58.545105,2.870946,-0.003193,0.065118
5.000000,0.005000,899.151096,58.525785,2.892386,-0.003217,0.065090
6.000000,0.006000,899.150106,58.525565,2.849146,-0.003169,0.065090
7.000000,0.007000,899.059346,58.545105,2.870946,-0.003193,0.065118
8.000000,0.008000,899.058236,58.506305,2.870696,-0.003193,0.065075
9.000000,0.009000,898.966486,58.525625,2.849256,-0.003169,0.065103
10.000000,0.010000,898.874616,58.506365,2.870806,-0.003194,0.065088
11.000000,0.011000,898.966366,58.487045,2.892246,-0.003217,0.065060
12.000000,0.012000,898.966366,58.487045,2.892246,-0.003217,0.065060
13.000000,0.013000,898.873506,58.467565,2.870556,-0.003194,0.065045
14.000000,0.014000,898.781756,58.486885,2.849116,-0.003170,0.065074
15.000000,0.015000,898.873506,58.467565,2.870556,-0.003194,0.065045
16.000000,0.016000,898.874786,58.506255,2.913726,-0.003242,0.065088
17.000000,0.017000,898.873506,58.467565,2.870556,-0.003194,0.065045
18.000000,0.018000,898.873386,58.428985,2.913546,-0.003241,0.065002
19.000000,0.019000,898.965256,58.448245,2.891996,-0.003217,0.065017
20.000000,0.020000,898.781806,58.448195,2.935026,-0.003266,0.065030
21.000000,0.021000,898.781636,58.448305,2.892106,-0.003218,0.065031
22.000000,0.022000,898.688776,58.428825,2.870416,-0.003194,0.065016
23.000000,0.023000,898.781636,58.448305,2.892106,-0.003218,0.065031
24.000000,0.024000,898.781636,58.448305,2.892106,-0.003218,0.065031
25.000000,0.025000,898.781636,58.448305,2.892106,-0.003218,0.065031
26.000000,0.026000,898.874496,58.467785,2.913796,-0.003242,0.065046
27.000000,0.027000,898.781636,58.448305,2.892106,-0.003218,0.065031
28.000000,0.028000,898.781636,58.448305,2.892106,-0.003218,0.065031
29.000000,0.029000,898.596906,58.409565,2.891966,-0.003218,0.065001
30.000000,0.030000,898.596906,58.409565,2.891966,-0.003218,0.065001
31.000000,0.031000,898.688656,58.390245,2.913406,-0.003242,0.064973
32.000000,0.032000,898.688776,58.428825,2.870416,-0.003194,0.065016
33.000000,0.033000,898.688656,58.390245,2.913406,-0.003242,0.064973
34.000000,0.034000,898.688656,58.390245,2.913406,-0.003242,0.064973
35.000000,0.035000,898.688656,58.390245,2.913406,-0.003242,0.064973
36.000000,0.036000,898.688656,58.390245,2.913406,-0.003242,0.064973
37.000000,0.037000,898.688656,58.390245,2.913406,-0.003242,0.064973
38.000000,0.038000,898.596906,58.409565,2.891966,-0.003218,0.065001
39.000000,0.039000,898.596906,58.409565,2.891966,-0.003218,0.065001
40.000000,0.040000,898.596786,58.370985,2.934956,-0.003266,0.064958
41.000000,0.041000,898.596786,58.370985,2.934956,-0.003266,0.064958
42.000000,0.042000,898.596786,58.370985,2.934956,-0.003266,0.064958
43.000000,0.043000,898.503926,58.351505,2.913266,-0.003242,0.064943
44.000000,0.044000,898.412346,58.370715,2.934746,-0.003267,0.064971
45.000000,0.045000,898.503926,58.351505,2.913266,-0.003242,0.064943
46.000000,0.046000,898.320306,58.351565,2.913376,-0.003243,0.064956
47.000000,0.047000,898.505036,58.390305,2.913516,-0.003243,0.064986
48.000000,0.048000,898.413456,58.409515,2.934996,-0.003267,0.065014
49.000000,0.049000,898.412176,58.370825,2.891826,-0.003219,0.064971
50.000000,0.050000,898.412176,58.370825,2.891826,-0.003219,0.064971
51.000000,0.051000,898.412176,58.370825,2.891826,-0.003219,0.064971
52.000000,0.052000,898.412176,58.370825,2.891826,-0.003219,0.064971
53.000000,0.053000,898.320596,58.390035,2.913306,-0.003243,0.064999
54.000000,0.054000,898.320596,58.390035,2.913306,-0.003243,0.064999
55.000000,0.055000,898.320596,58.390035,2.913306,-0.003243,0.064999
56.000000,0.056000,898.412176,58.370825,2.891826,-0.003219,0.064971
57.000000,0.057000,898.320476,58.351455,2.956296,-0.003291,0.064956
58.000000,0.058000,898.321586,58.390255,2.956546,-0.003291,0.064999
59.000000,0.059000,898.413456,58.409515,2.934996,-0.003267,0.065014
60.000000,0.060000,898.320596,58.390035,2.913306,-0.003243,0.064999
61.000000,0.061000,898.229836,58.409575,2.935106,-0.003268,0.065027
62.000000,0.062000,898.136976,58.390095,2.913416,-0.003244,0.065012
63.000000,0.063000,898.320596,58.390035,2.913306,-0.003243,0.064999
64.000000,0.064000,898.228846,58.409355,2.891866,-0.003220,0.065027
65.000000,0.065000,898.413456,58.409515,2.934996,-0.003267,0.065014
66.000000,0.066000,898.228846,58.409355,2.891866,-0.003220,0.065027
67.000000,0.067000,898.413456,58.409515,2.934996,-0.003267,0.065014
68.000000,0.068000,898.229836,58.409575,2.935106,-0.003268,0.065027
69.000000,0.069000,898.321706,58.428835,2.913556,-0.003243,0.065042
70.000000,0.070000,898.321706,58.428835,2.913556,-0.003243,0.065042
71.000000,0.071000,898.413576,58.448095,2.892006,-0.003219,0.065057
72.000000,0.072000,898.228846,58.409355,2.891866,-0.003220,0.065027
73.000000,0.073000,898.321706,58.428835,2.913556,-0.003243,0.065042
74.000000,0.074000,898.321706,58.428835,2.913556,-0.003243,0.065042
75.000000,0.075000,898.229836,58.409575,2.935106,-0.003268,0.065027
76.000000,0.076000,898.321706,58.428835,2.913556,-0.003243,0.065042
77.000000,0.077000,898.413456,58.409515,2.934996,-0.003267,0.065014
78.000000,0.078000,898.414566,58.448315,2.935246,-0.003267,0.065057
79.000000,0.079000,898.506436,58.467575,2.913696,-0.003243,0.065072
80.000000,0.080000,898.414566,58.448315,2.935246,-0.003267,0.065057
81.000000,0.081000,898.414566,58.448315,2.935246,-0.003267,0.065057
82.000000,0.082000,898.321706,58.428835,2.913556,-0.003243,0.065042
83.000000,0.083000,898.413576,58.448095,2.892006,-0.003219,0.065057
84.000000,0.084000,898.598016,58.448365,2.892216,-0.003219,0.065044
85.000000,0.085000,898.321706,58.428835,2.913556,-0.003243,0.065042
86.000000,0.086000,898.506146,58.429105,2.913766,-0.003243,0.065029
87.000000,0.087000,898.596906,58.409565,2.891966,-0.003218,0.065001
88.000000,0.088000,898.505326,58.428775,2.913446,-0.003243,0.065029
89.000000,0.089000,898.598186,58.448255,2.935136,-0.003266,0.065044
90.000000,0.090000,898.689766,58.429045,2.913656,-0.003242,0.065016
91.000000,0.091000,898.598016,58.448365,2.892216,-0.003219,0.065044
92.000000,0.092000,898.689766,58.429045,2.913656,-0.003242,0.065016
93.000000,0.093000,898.690056,58.467515,2.913586,-0.003242,0.065059
94.000000,0.094000,898.691046,58.467735,2.956826,-0.003290,0.065059
95.000000,0.095000,898.874496,58.467785,2.913796,-0.003242,0.065046
96.000000,0.096000,898.782626,58.448525,2.935346,-0.003266,0.065031
97.000000,0.097000,898.874496,58.467785,2.913796,-0.003242,0.065046
98.000000,0.098000,898.966366,58.487045,2.892246,-0.003217,0.065060
99.000000,0.099000,898.874496,58.467785,2.913796,-0.003242,0.065046
100.000000,0.100000,898.874496,58.467785,2.913796,-0.003242,0.065046
101.000000,0.101000,898.966366,58.487045,2.892246,-0.003217,0.065060
102.000000,0.102000,899.059226,58.506525,2.913936,-0.003241,0.065075
103.000000,0.103000,899.152086,58.526005,2.935626,-0.003265,0.065090
104.000000,0.104000,899.152086,58.526005,2.935626,-0.003265,0.065090
105.000000,0.105000,899.243836,58.506685,2.957066,-0.003288,0.065062
106.000000,0.106000,899.059226,58.506525,2.913936,-0.003241,0.065075
107.000000,0.107000,899.243956,58.545265,2.914076,-0.003241,0.065105
108.000000,0.108000,899.242676,58.506575,2.870906,-0.003193,0.065062
