Seq,Time,Fz,Mx,My,CoPx,CoPy
0.000000,0.000000,899.492435,64.181285,4.726936,-0.005255,0.071353
1.000000,0.001000,899.492435,64.181285,4.726936,-0.005255,0.071353
2.000000,0.002000,899.584185,64.161965,4.748376,-0.005278,0.071324
3.000000,0.003000,899.585295,64.200765,4.748626,-0.005279,0.071367
4.000000,0.004000,899.677045,64.181445,4.770066,-0.005302,0.071338
5.000000,0.005000,899.677045,64.181445,4.770066,-0.005302,0.071338
6.000000,0.006000,899.768625,64.162235,4.748586,-0.005278,0.071310
7.000000,0.007000,899.768915,64.200705,4.748516,-0.005277,0.071352
8.000000,0.008000,899.769905,64.200925,4.791756,-0.005326,0.071353
9.000000,0.009000,899.769905,64.200925,4.791756,-0.005326,0.071353
10.000000,0.010000,899.953355,64.200975,4.748726,-0.005277,0.071338
11.000000,0.011000,900.045105,64.181655,4.770166,-0.005300,0.071309
12.000000,0.012000,899.953525,64.200865,4.791646,-0.005324,0.071338
13.000000,0.013000,899.953525,64.200865,4.791646,-0.005324,0.071338
14.000000,0.014000,900.045105,64.181655,4.770166,-0.005300,0.071309
15.000000,0.015000,900.045105,64.181655,4.770166,-0.005300,0.071309
16.000000,0.016000,900.137965,64.201135,4.791856,-0.005323,0.071324
17.000000,0.017000,900.229835,64.220395,4.770306,-0.005299,0.071338
18.000000,0.018000,900.229715,64.181815,4.813296,-0.005347,0.071295
19.000000,0.019000,900.228435,64.143125,4.770126,-0.005299,0.071252
20.000000,0.020000,900.321295,64.162605,4.791816,-0.005322,0.071266
21.000000,0.021000,900.321585,64.201075,4.791746,-0.005322,0.071309
22.000000,0.022000,900.413335,64.181755,4.813186,-0.005346,0.071280
23.000000,0.023000,900.322575,64.201295,4.834986,-0.005370,0.071309
24.000000,0.024000,900.321295,64.162605,4.791816,-0.005322,0.071266
25.000000,0.025000,900.413045,64.143285,4.813256,-0.005346,0.071238
26.000000,0.026000,900.413045,64.143285,4.813256,-0.005346,0.071238
27.000000,0.027000,900.321465,64.162495,4.834736,-0.005370,0.071266
28.000000,0.028000,900.505905,64.162765,4.834946,-0.005369,0.071252
29.000000,0.029000,900.505905,64.162765,4.834946,-0.005369,0.071252
30.000000,0.030000,900.413045,64.143285,4.813256,-0.005346,0.071238
31.000000,0.031000,900.597775,64.182025,4.813396,-0.005345,0.071266
32.000000,0.032000,900.689235,64.124235,4.834906,-0.005368,0.071195
33.000000,0.033000,900.504505,64.085495,4.834766,-0.005369,0.071166
34.000000,0.034000,900.689235,64.124235,4.834906,-0.005368,0.071195
35.000000,0.035000,900.689235,64.124235,4.834906,-0.005368,0.071195
36.000000,0.036000,900.596255,64.066175,4.856206,-0.005392,0.071138
37.000000,0.037000,900.596255,64.066175,4.856206,-0.005392,0.071138
38.000000,0.038000,900.504505,64.085495,4.834766,-0.005369,0.071166
39.000000,0.039000,900.504385,64.046915,4.877756,-0.005417,0.071123
40.000000,0.040000,900.596135,64.027595,4.899196,-0.005440,0.071095
41.000000,0.041000,900.689115,64.085655,4.877896,-0.005416,0.071152
42.000000,0.042000,900.412805,64.066125,4.899236,-0.005441,0.071152
43.000000,0.043000,900.504385,64.046915,4.877756,-0.005417,0.071123
44.000000,0.044000,900.504385,64.046915,4.877756,-0.005417,0.071123
45.000000,0.045000,900.504385,64.046915,4.877756,-0.005417,0.071123
46.000000,0.046000,900.412515,64.027655,4.899306,-0.005441,0.071109
47.000000,0.047000,900.504265,64.008335,4.920746,-0.005464,0.071081
48.000000,0.048000,900.412685,64.027545,4.942226,-0.005489,0.071109
49.000000,0.049000,900.320645,64.008395,4.920856,-0.005466,0.071095
50.000000,0.050000,900.319655,64.008175,4.877616,-0.005418,0.071095
51.000000,0.051000,900.228075,64.027385,4.899096,-0.005442,0.071124
52.000000,0.052000,900.227955,63.988805,4.942086,-0.005490,0.071081
53.000000,0.053000,900.227955,63.988805,4.942086,-0.005490,0.071081
54.000000,0.054000,900.227955,63.988805,4.942086,-0.005490,0.071081
55.000000,0.055000,900.227785,63.988915,4.899166,-0.005442,0.071081
56.000000,0.056000,900.136085,63.969545,4.963636,-0.005514,0.071067
57.000000,0.057000,899.951475,63.969385,4.920506,-0.005468,0.071081
58.000000,0.058000,899.859605,63.950125,4.942056,-0.005492,0.071067
59.000000,0.059000,899.859605,63.950125,4.942056,-0.005492,0.071067
60.000000,0.060000,899.952465,63.969605,4.963746,-0.005516,0.071081
61.000000,0.061000,899.859775,63.950015,4.984976,-0.005540,0.071067
62.000000,0.062000,899.951355,63.930805,4.963496,-0.005515,0.071038
63.000000,0.063000,899.859485,63.911545,4.985046,-0.005540,0.071024
64.000000,0.064000,899.858375,63.872745,4.984796,-0.005540,0.070981
65.000000,0.065000,899.673645,63.834005,4.984656,-0.005541,0.070952
66.000000,0.066000,899.675045,63.911275,4.984836,-0.005541,0.071038
67.000000,0.067000,899.490315,63.872535,4.984696,-0.005542,0.071010
68.000000,0.068000,899.490315,63.872535,4.984696,-0.005542,0.071010
69.000000,0.069000,899.673645,63.834005,4.984656,-0.005541,0.070952
70.000000,0.070000,899.766505,63.853485,5.006346,-0.005564,0.070967
71.000000,0.071000,899.490315,63.872535,4.984696,-0.005542,0.071010
72.000000,0.072000,899.490195,63.833955,5.027686,-0.005589,0.070967
73.000000,0.073000,899.398445,63.853275,5.006246,-0.005566,0.070996
74.000000,0.074000,899.581775,63.814745,5.006206,-0.005565,0.070938
75.000000,0.075000,899.490025,63.834065,4.984766,-0.005542,0.070967
76.000000,0.076000,899.398325,63.814695,5.049236,-0.005614,0.070953
77.000000,0.077000,899.489905,63.795485,5.027756,-0.005590,0.070924
78.000000,0.078000,899.489905,63.795485,5.027756,-0.005590,0.070924
79.000000,0.079000,899.489905,63.795485,5.027756,-0.005590,0.070924
80.000000,0.080000,899.488795,63.756685,5.027506,-0.005589,0.070881
81.000000,0.081000,899.305465,63.795215,5.027546,-0.005590,0.070938
82.000000,0.082000,899.213595,63.775955,5.049096,-0.005615,0.070924
83.000000,0.083000,899.305345,63.756635,5.070536,-0.005638,0.070895
84.000000,0.084000,899.396925,63.737425,5.049056,-0.005614,0.070867
85.000000,0.085000,899.488675,63.718105,5.070496,-0.005637,0.070838
86.000000,0.086000,899.488675,63.718105,5.070496,-0.005637,0.070838
87.000000,0.087000,899.488675,63.718105,5.070496,-0.005637,0.070838
88.000000,0.088000,899.580255,63.698895,5.049016,-0.005613,0.070810
89.000000,0.089000,899.579145,63.660095,5.048766,-0.005612,0.070767
90.000000,0.090000,899.487565,63.679305,5.070246,-0.005637,0.070795
91.000000,0.091000,899.580425,63.698785,5.091936,-0.005660,0.070809
92.000000,0.092000,899.487565,63.679305,5.070246,-0.005637,0.070795
93.000000,0.093000,899.579145,63.660095,5.048766,-0.005612,0.070767
94.000000,0.094000,899.487275,63.640835,5.070316,-0.005637,0.070752
95.000000,0.095000,899.487445,63.640725,5.113236,-0.005685,0.070752
96.000000,0.096000,899.486165,63.602035,5.070066,-0.005637,0.070709
97.000000,0.097000,899.486165,63.602035,5.070066,-0.005637,0.070709
98.000000,0.098000,899.486165,63.602035,5.070066,-0.005637,0.070709
99.000000,0.099000,899.394295,63.582775,5.091616,-0.005661,0.070695
100.000000,0.100000,899.486045,63.563455,5.113056,-0.005684,0.070666
101.000000,0.101000,899.302425,63.563515,5.113166,-0.005686,0.070681
102.000000,0.102000,899.301315,63.524715,5.112916,-0.005685,0.070638
103.000000,0.103000,899.209565,63.544035,5.091476,-0.005662,0.070667
104.000000,0.104000,899.208455,63.505235,5.091226,-0.005662,0.070623
105.000000,0.105000,899.209445,63.505455,5.134466,-0.005710,0.070624
106.000000,0.106000,899.116465,63.447395,5.155766,-0.005734,0.070566
107.000000,0.107000,899.208215,63.428075,5.177206,-0.005758,0.070538
108.000000,0.108000,899.208045,63.428185,5.134286,-0.005710,0.070538
109.000000,0.109000,899.208215,63.428075,5.177206,-0.005758,0.070538
110.000000,0.110000,899.207105,63.389275,5.176956,-0.005757,0.070495
111.000000,0.111000,899.299965,63.408755,5.198646,-0.005781,0.070509
112.000000,0.112000,899.207105,63.389275,5.176956,-0.005757,0.070495
113.000000,0.113000,899.298565,63.331485,5.198466,-0.005781,0.070423
114.000000,0.114000,899.023365,63.350755,5.220056,-0.005806,0.070466
115.000000,0.115000,898.930505,63.331275,5.198366,-0.005783,0.070452
116.000000,0.116000,899.022255,63.311955,5.219806,-0.005806,0.070423
117.000000,0.117000,899.115115,63.331435,5.241496,-0.005830,0.070438
118.000000,0.118000,899.023125,63.273595,5.306036,-0.005902,0.070380
119.000000,0.119000,899.114875,63.254275,5.327476,-0.005925,0.070352
120.000000,0.120000,899.114875,63.254275,5.327476,-0.005925,0.070352
121.000000,0.121000,899.113595,63.215585,5.284306,-0.005877,0.070309
122.000000,0.122000,899.113595,63.215585,5.284306,-0.005877,0.070309
123.000000,0.123000,899.021725,63.196325,5.305856,-0.005902,0.070295
124.000000,0.124000,898.930145,63.215535,5.327336,-0.005926,0.070323
125.000000,0.125000,898.930025,63.176955,5.370326,-0.005974,0.070280
126.000000,0.126000,898.930025,63.176955,5.370326,-0.005974,0.070280
127.000000,0.127000,899.021775,63.157635,5.391766,-0.005997,0.070252
128.000000,0.128000,898.929905,63.138375,5.413316,-0.006022,0.070237
129.000000,0.129000,898.838325,63.157585,5.434796,-0.006046,0.070266
130.000000,0.130000,898.745175,63.099635,5.413176,-0.006023,0.070209
131.000000,0.131000,898.653425,63.118955,5.391736,-0.006000,0.070237
132.000000,0.132000,898.653595,63.118845,5.434656,-0.006048,0.070237
133.000000,0.133000,898.929785,63.099795,5.456306,-0.006070,0.070194
134.000000,0.134000,898.837915,63.080535,5.477856,-0.006094,0.070180
135.000000,0.135000,898.745055,63.061055,5.456166,-0.006071,0.070166
136.000000,0.136000,898.928675,63.060995,5.456056,-0.006070,0.070151
137.000000,0.137000,898.836805,63.041735,5.477606,-0.006094,0.070137
138.000000,0.138000,898.744935,63.022475,5.499156,-0.006119,0.070123
139.000000,0.139000,898.652075,63.002995,5.477466,-0.006095,0.070108
140.000000,0.140000,898.652075,63.002995,5.477466,-0.006095,0.070108
141.000000,0.141000,898.744815,62.983895,5.542146,-0.006167,0.070080
142.000000,0.142000,898.743535,62.945205,5.498976,-0.006119,0.070037
143.000000,0.143000,898.743825,62.983675,5.498906,-0.006118,0.070080
144.000000,0.144000,898.650965,62.964195,5.477216,-0.006095,0.070065
145.000000,0.145000,898.650845,62.925615,5.520206,-0.006143,0.070022
146.000000,0.146000,898.650845,62.925615,5.520206,-0.006143,0.070022
147.000000,0.147000,898.650845,62.925615,5.520206,-0.006143,0.070022
148.000000,0.148000,898.742595,62.906295,5.541646,-0.006166,0.069994
149.000000,0.149000,898.742595,62.906295,5.541646,-0.006166,0.069994
150.000000,0.150000,898.742595,62.906295,5.541646,-0.006166,0.069994
151.000000,0.151000,898.650725,62.887035,5.563196,-0.006191,0.069979
152.000000,0.152000,898.557865,62.867555,5.541506,-0.006167,0.069965
153.000000,0.153000,898.466115,62.886875,5.520066,-0.006144,0.069994
154.000000,0.154000,898.465995,62.848295,5.563056,-0.006192,0.069951
155.000000,0.155000,898.557865,62.867555,5.541506,-0.006167,0.069965
156.000000,0.156000,898.650725,62.887035,5.563196,-0.006191,0.069979
157.000000,0.157000,898.742305,62.867825,5.541716,-0.006166,0.069951
158.000000,0.158000,898.650725,62.887035,5.563196,-0.006191,0.069979
159.000000,0.159000,898.650605,62.848455,5.606186,-0.006238,0.069936
160.000000,0.160000,898.649325,62.809765,5.563016,-0.006190,0.069894
161.000000,0.161000,898.834055,62.848505,5.563156,-0.006189,0.069922
162.000000,0.162000,898.649325,62.809765,5.563016,-0.006190,0.069894
163.000000,0.163000,898.649325,62.809765,5.563016,-0.006190,0.069894
164.000000,0.164000,898.465875,62.809715,5.606046,-0.006240,0.069908
165.000000,0.165000,898.557625,62.790395,5.627486,-0.006263,0.069879
166.000000,0.166000,898.466045,62.809605,5.648966,-0.006287,0.069908
167.000000,0.167000,898.557745,62.828975,5.584496,-0.006215,0.069922
168.000000,0.168000,898.557745,62.828975,5.584496,-0.006215,0.069922
169.000000,0.169000,898.464765,62.770915,5.605796,-0.006239,0.069865
170.000000,0.170000,898.557335,62.751925,5.627556,-0.006263,0.069836
171.000000,0.171000,898.465875,62.809715,5.606046,-0.006240,0.069908
172.000000,0.172000,898.557625,62.790395,5.627486,-0.006263,0.069879
173.000000,0.173000,898.557625,62.790395,5.627486,-0.006263,0.069879
174.000000,0.174000,898.556345,62.751705,5.584316,-0.006215,0.069836
175.000000,0.175000,898.464765,62.770915,5.605796,-0.006239,0.069865
176.000000,0.176000,898.372895,62.751655,5.627346,-0.006264,0.069850
177.000000,0.177000,898.372895,62.751655,5.627346,-0.006264,0.069850
178.000000,0.178000,898.371785,62.712855,5.627096,-0.006264,0.069807
179.000000,0.179000,898.372895,62.751655,5.627346,-0.006264,0.069850
180.000000,0.180000,898.281025,62.732395,5.648896,-0.006289,0.069836
181.000000,0.181000,898.281025,62.732395,5.648896,-0.006289,0.069836
182.000000,0.182000,898.188165,62.712915,5.627206,-0.006265,0.069822
183.000000,0.183000,898.464355,62.693865,5.648856,-0.006287,0.069779
